AGE;FPLACE;POOL;PRICE;SQFT;UTOWN
5;0;0;169,271;21,55;0
11;1;1;225,427;26,23;0
24;1;0;184,506;25,64;0
4;0;0;251,076;25,8;0
0;0;1;205,255;20,99;0
27;0;0;184,546;21,26;0
2;1;0;199,333;22,3;0
18;0;0;232,931;25,8;0
3;0;0;213,714;25,36;0
10;1;0;253,611;27,38;0
17;0;0;223,723;24,37;0
16;0;0;209,033;25,71;0
29;1;0;219,741;25,33;0
12;0;1;176,065;20,38;0
14;1;0;245,132;29,82;0
8;0;1;160,305;20,08;0
2;0;0;194,806;20,69;0
11;0;0;184,914;22,14;0
2;0;1;218,771;23,63;0
4;0;0;240,763;29,04;0
16;1;0;202,903;27,49;0
7;1;0;218,649;27,73;0
4;1;0;218,969;23,67;0
1;1;0;210,638;24,25;0
0;1;0;203,894;24,6;0
17;0;1;217,342;23,36;0
2;0;0;208,681;24,35;0
17;1;0;225,098;27,33;0
5;0;0;217,151;25,2;0
3;1;0;228,273;24,17;0
5;0;1;220,803;26,72;0
7;0;0;192,231;22,68;0
15;0;0;231,082;25,18;0
6;1;0;264,382;29,08;0
3;1;0;259,221;29,08;0
18;1;1;241,352;27,88;0
2;1;0;240,429;27,38;0
9;0;0;166,8;20,07;0
9;1;0;263,28;29,44;0
2;0;0;208,78;23,51;0
5;1;0;254,205;29,52;0
22;1;1;228,363;25,38;0
2;1;1;212,381;24,61;0
8;0;0;164,924;22,27;0
24;1;1;250,793;29,27;0
7;1;0;240,858;25,96;0
10;1;0;168,758;21,14;0
2;1;0;220,285;26,78;0
8;0;0;206,138;24,75;0
9;0;1;204,862;25,3;0
6;1;0;224,61;25,51;0
12;1;0;270,397;29,55;0
11;1;0;194,297;22,47;0
7;0;0;199,157;26,08;0
2;0;0;205,504;24,81;0
2;1;1;235,548;28,77;0
15;1;0;218,334;27,24;0
45;0;1;192,512;22,89;0
12;0;0;197,923;22,15;0
3;0;0;190,49;25,15;0
42;1;0;229,363;27,72;0
1;0;0;226,629;25,52;0
0;1;0;255,153;29;0
4;0;0;200,369;23,3;0
11;1;0;257,29;29,08;0
0;1;0;258,558;27,37;0
8;1;0;238,405;25,26;0
2;0;0;238,034;28,92;0
13;1;0;181,041;20,95;0
5;1;0;191,366;23,77;0
5;0;0;186,388;21,29;0
3;1;0;201,364;24,97;0
5;0;0;237,306;28,57;0
23;0;0;188,401;20,41;0
2;0;0;185,057;21,91;0
13;1;0;271,082;29,86;0
6;0;0;196,602;25,73;0
5;0;0;212,204;28,21;0
1;0;0;214,785;27,54;0
0;0;0;211,934;20,1;0
8;1;0;193,11;21,88;0
0;1;0;274,829;29,91;0
1;0;1;235,868;26,83;0
6;1;0;183,526;20,17;0
7;0;1;228,135;28,2;0
0;1;1;261,443;25,7;0
3;0;0;194,472;24,47;0
1;1;1;218,892;24,46;0
1;1;0;236,398;27,44;0
4;0;0;182,501;22,93;0
8;0;0;225,062;28;0
3;1;0;258,697;29,09;0
2;0;0;207,265;22,24;0
5;0;0;224,451;22,34;0
39;1;0;245,333;28,42;0
1;0;1;193,73;20,98;0
5;1;0;142,378;22;0
2;1;0;165,304;21,63;0
1;1;0;218,846;27,73;0
7;0;0;183,795;22,08;0
3;1;1;269,914;29,56;0
1;0;0;174,32;20,33;0
40;0;0;196,662;23,4;0
2;0;1;241,577;25,82;0
18;1;1;257,435;29,85;0
20;0;0;234,855;25,96;0
9;0;0;204,851;22,69;0
3;1;0;222,725;27,46;0
10;1;1;197,573;22,95;0
23;0;0;251,093;27,81;0
6;0;0;168,13;21,1;0
4;1;0;231,538;27,84;0
4;0;1;195,507;21,63;0
2;1;0;239,18;27,27;0
13;0;0;192,815;22,4;0
0;0;0;191,576;20,17;0
13;0;1;248,843;26,4;0
17;0;0;156,317;20,5;0
2;1;0;228,595;27,76;0
9;1;0;220,761;25,59;0
9;0;0;196,747;23,31;0
21;1;0;165,61;20,81;0
4;1;0;264,443;27,75;0
4;0;0;208,124;25,09;0
4;1;0;273,708;28,4;0
0;1;0;242,803;28,23;0
0;1;0;196,422;21,93;0
6;0;0;201,428;20,77;0
2;0;0;249,407;29,38;0
6;1;1;221,061;23,73;0
3;0;0;242,758;28,11;0
6;0;0;224,18;27,6;0
0;0;0;199,127;20,29;0
9;1;0;226,797;25,88;0
3;1;0;254,058;28,03;0
0;1;0;234,693;28,26;0
2;1;0;218,159;26,22;0
3;0;1;186,512;21,37;0
29;1;1;212,751;27,2;0
31;0;0;234,216;29,71;0
26;1;0;183,862;24,26;0
29;0;1;194,283;21,6;0
5;0;1;224,763;26,54;0
1;0;0;264,556;25,94;0
3;0;0;247,663;29,9;0
35;1;0;158,754;23,9;0
5;1;0;188,329;21,81;0
1;0;0;224,746;27,13;0
14;1;0;196,745;22,89;0
44;0;0;183,698;21,12;0
4;0;1;206,708;24,05;0
8;1;0;192,589;22,86;0
20;1;1;212,827;23,75;0
1;0;0;218,886;26,32;0
0;1;0;207,358;26,74;0
14;0;0;195,303;20,61;0
8;1;0;227,416;27,71;0
4;0;0;222,315;24,04;0
7;0;0;226,419;27,68;0
7;0;0;193,529;23,18;0
0;1;1;203,693;20,9;0
15;0;0;193,909;22,05;0
27;1;0;249,317;28,12;0
6;0;0;231,508;28,65;0
2;1;0;199,659;26,61;0
4;1;0;204,344;20,98;0
21;0;1;199,207;23,61;0
4;1;0;243,807;29,46;0
2;1;0;212,158;24,77;0
4;0;0;208,431;23,96;0
34;0;0;219,924;26,24;0
23;0;0;168,373;22,42;0
7;0;0;195,901;22,25;0
5;1;0;220,179;25,56;0
23;0;0;214,847;25,29;0
1;0;0;225,247;26,83;0
1;1;1;232,198;28,81;0
2;0;0;213,44;27,25;0
7;1;1;241,336;28,99;0
1;0;1;196,108;23,7;0
3;0;0;182,041;20,96;0
2;0;1;222,32;26,13;0
13;0;0;176,126;21,99;0
20;0;1;229,529;24,87;0
7;1;0;246,093;28,84;0
6;0;1;198,145;22,7;0
6;0;1;206,606;25,6;0
4;1;0;214,153;26,13;0
7;1;0;242,796;28,51;0
3;1;1;237,51;26,18;0
3;1;0;193,209;23,95;0
3;1;0;175,698;22,88;0
20;1;0;234,117;26,64;0
13;0;1;182,306;20,74;0
11;0;0;228,916;28,93;0
23;1;0;192,474;20,92;0
11;1;0;216,448;29,52;0
18;0;0;255,206;28,98;0
0;0;0;244,635;25,73;0
7;0;0;207,095;22,01;0
2;1;0;217,304;26,57;0
10;1;0;220,754;23,8;0
0;0;0;248,497;26,86;0
18;0;0;193,631;23,88;0
10;0;0;247,45;28,44;0
7;0;0;235,738;28,57;0
3;1;0;221,86;23,29;0
6;1;0;216,931;27,42;0
10;1;0;199,257;24,51;0
12;0;0;163,901;22,4;0
26;1;0;210,163;25,62;0
25;1;0;226,375;27,01;0
35;1;1;263,267;27,21;0
34;0;0;246,534;29,83;0
19;0;1;173,39;21,37;0
0;1;0;206,127;25,25;0
0;1;0;240,196;24,75;0
26;1;0;227,64;27,77;0
24;1;1;259,144;27,99;0
3;0;0;179,296;20,28;0
7;1;0;234,779;25,62;0
0;0;1;220,916;23,95;0
13;0;0;182,285;20,99;0
7;1;0;203,122;23,43;0
6;1;0;206,863;26,87;0
4;0;0;240,265;26,53;0
6;1;1;245,806;27,8;0
2;0;1;242,958;26,52;0
5;1;0;276,977;28,04;0
11;1;0;212,274;25,84;0
2;0;0;178,336;21,12;0
0;1;0;217,621;26,27;0
13;0;1;177,512;20,15;0
37;0;1;199,615;25,91;0
4;1;0;216,444;26,31;0
9;1;0;243,167;29,16;0
6;1;1;171,927;22,2;0
3;1;0;228,585;23,69;0
1;0;1;247,754;29,05;0
23;0;0;205,887;22,93;0
2;1;0;185,622;21,97;0
1;1;0;230,412;23,43;0
4;0;0;251,125;27,75;0
13;1;0;208,542;24,17;0
11;1;1;226,984;22,67;0
8;1;0;233,9;24,62;0
8;0;0;175,365;20,35;0
4;1;0;251,772;27,87;0
1;1;1;245,74;28,21;0
29;0;0;201,008;25,3;0
4;0;1;224,544;24,46;0
26;0;0;226,995;22,76;0
3;1;0;206,227;21,38;0
13;1;0;183,531;22,74;0
8;1;0;236,246;26,24;0
2;0;0;217,663;26,45;0
2;1;0;252,483;27,37;0
3;1;1;211,39;26,63;0
9;1;0;211,295;25,36;0
11;1;0;211,09;25,23;0
12;1;0;239,339;27,17;0
10;1;0;217,144;22,71;0
23;0;0;199,747;20,4;0
19;0;0;255,268;28,94;0
0;0;0;194,652;22,01;0
20;0;0;190,959;25,55;0
2;1;0;198,391;21,51;0
49;1;1;191,055;27,06;0
1;1;0;195,382;23,67;0
17;1;1;193,688;23,76;0
14;0;0;196,818;21;0
6;0;0;226,832;28,65;0
3;1;0;200,453;22,08;0
8;1;0;206,714;25,21;0
12;1;0;216,116;23,14;0
2;0;0;196,773;23,26;0
13;0;1;219,493;22,13;0
12;0;0;241,456;27,85;0
33;0;0;205,013;24,51;0
0;0;0;243,643;28,95;0
1;1;0;238,966;26,59;0
5;1;0;233,503;26,72;0
18;0;0;181,183;20,59;0
6;0;0;183,354;21,39;0
11;1;0;204,379;20,9;0
3;0;0;216,027;20,31;0
13;1;0;225,504;28,74;0
25;1;1;203,49;22,59;0
2;1;0;190,034;23,5;0
14;1;0;261,775;28,88;0
11;1;0;236,614;24,96;0
21;0;0;241,603;29,39;0
4;0;0;223,249;27,05;0
11;0;0;169,441;20,16;0
3;1;0;178,039;20,23;0
3;0;0;192,171;21,63;0
1;0;0;202,603;24,76;0
0;1;0;231,246;26,16;0
0;0;0;178,393;22,22;0
32;1;0;173,874;21,97;0
6;0;0;214,573;24;0
12;1;0;234,339;28,71;0
37;1;0;218,802;28,63;0
13;1;0;208,266;26,28;0
6;1;0;198,009;23,08;0
21;0;0;243,41;29,37;0
5;1;1;261,68;28,32;0
4;0;1;259,895;29,89;0
22;1;0;201,397;26,75;0
20;0;0;236,827;27,12;0
7;1;1;209,807;24,11;0
38;0;0;222,883;25,92;0
11;1;0;170,703;24,25;0
2;0;0;205,576;25,61;0
1;0;0;253,066;26,08;0
4;1;1;195,533;23,2;0
9;0;0;264,539;29,02;0
20;0;0;141,62;20,03;0
17;0;0;237,703;26,92;0
15;1;0;200,547;25,17;0
19;0;0;229,252;27,46;0
16;0;0;190,738;25,18;0
18;1;0;233,794;24,11;0
18;0;1;188,718;25,31;0
5;1;0;242,705;29,73;0
17;1;0;224,595;27,33;0
20;0;0;189,935;21,07;0
3;1;0;243,493;26,81;0
3;1;0;209,825;25,23;0
6;1;1;210,047;26,34;0
15;0;0;248,899;28,37;0
1;1;0;197,34;22,25;0
7;1;1;225,391;27,86;0
0;0;0;211,685;28,55;0
26;1;0;176,389;21,7;0
30;1;0;157,092;20,31;0
18;0;0;175,387;21,28;0
16;0;0;196,89;20,03;0
6;1;0;206,163;23,4;0
7;1;0;248,939;29,48;0
17;1;0;242,799;29,75;0
1;0;0;196,655;20,45;0
1;1;1;209,316;22,16;0
14;0;0;203,558;24,91;0
1;0;1;215,265;25,83;0
3;0;0;164,164;20,97;0
1;0;0;218,107;23,57;0
11;1;0;210,739;28,25;0
5;1;0;185,876;22,87;0
2;1;0;163,64;21,15;0
18;0;0;210,2;23,06;0
16;1;0;201,803;23,37;0
13;0;1;248,359;27,51;0
5;0;1;219,489;28,83;0
4;0;0;213,47;25,69;0
2;0;1;197,404;23,55;0
13;1;0;196,459;22,89;0
8;0;0;221,649;28,99;0
9;0;0;204,477;22,76;0
29;0;0;204,304;24,25;0
7;1;0;268,778;29,68;0
23;1;0;206,656;23,42;0
3;1;0;208,605;24,23;0
9;1;0;199,141;23;0
22;1;0;224,986;24,7;0
7;1;0;235,637;28,61;0
6;0;1;254,065;26,38;0
6;0;0;175,011;20,64;0
3;1;0;213,498;25,18;0
11;0;1;222,738;21,02;0
19;1;0;215,275;27,5;0
1;1;0;224,872;25,1;0
13;1;0;220,919;25,5;0
35;0;0;219,615;29,15;0
11;1;0;179,265;22,84;0
3;1;1;205,722;20,98;0
1;1;0;203,888;21,48;0
0;1;0;195,428;23,07;0
5;0;0;223,44;26,4;0
3;1;0;202,091;24,62;0
60;1;0;163,156;20,23;0
11;1;0;224,728;25,38;0
7;1;0;180,468;21,07;0
7;1;0;211,69;21,77;0
8;1;0;229,75;26,17;0
7;1;0;232,924;27,09;0
16;1;1;252,741;27,8;0
2;0;0;184,303;25,44;0
10;1;1;193,296;23,15;0
12;1;0;243,107;27,28;0
0;1;0;209,668;25,95;0
1;1;0;202,905;25,37;0
22;1;0;259,662;29,06;0
9;1;1;240,157;29,28;0
15;0;0;214,948;26,58;0
17;0;0;192,086;26,66;0
6;0;1;276,049;29,77;0
1;1;0;258,411;29,25;0
11;1;1;240,553;28,94;0
0;1;0;217,298;26,49;0
21;1;0;175,737;20,27;0
1;0;0;252,226;28,53;0
1;0;0;221,387;25,77;0
7;1;1;249,342;28,96;0
22;1;1;211,492;25,42;0
9;1;0;193,527;24,2;0
3;0;0;226,952;22,06;0
19;0;0;229,385;28,22;0
39;1;0;209,213;24,93;0
1;1;0;238,446;27,21;0
1;0;0;276,964;24,26;1
5;1;0;268,865;24,45;1
8;0;0;285,714;28,28;1
0;1;0;318,696;29,4;1
9;0;0;315,949;28,07;1
1;0;1;299,161;25,87;1
6;0;0;279,215;24,42;1
3;1;0;283,058;24,58;1
4;0;0;315,574;29,78;1
0;0;0;277,16;24,7;1
9;0;1;294,351;26,87;1
0;0;0;335,751;27,7;1
11;0;1;241,434;20,89;1
6;1;0;275,03;25,21;1
15;0;0;191,57;20,08;1
1;0;1;297,943;26,74;1
14;1;0;263,244;24,76;1
0;0;0;332,632;29,45;1
3;0;0;282,328;23,99;1
24;0;1;314,65;29,28;1
4;1;0;288,556;24,48;1
1;1;0;302,834;27,02;1
2;1;0;247,82;21,26;1
4;0;0;269,971;22,76;1
17;1;0;292,926;26;1
34;1;1;278,562;21,73;1
14;1;0;272,666;26,08;1
5;0;0;288,546;26,81;1
0;1;0;280,678;27,12;1
2;0;1;292,002;25,55;1
18;1;0;316,945;29,39;1
14;1;0;245,652;21,17;1
15;1;1;303,18;27,74;1
2;0;0;230,159;20,04;1
9;1;0;263,736;27,18;1
2;1;0;241,85;22,94;1
6;0;1;263,677;22,24;1
8;0;0;236,986;23,71;1
12;1;0;253,671;22,59;1
5;0;0;294,203;25,92;1
3;0;0;251,827;22,69;1
8;1;0;275,814;23,55;1
12;0;0;264,473;21,28;1
31;1;0;321,994;29,91;1
0;1;0;331,387;29,79;1
7;1;0;230,74;21,1;1
1;1;0;271,396;27,28;1
9;0;0;319,381;28,18;1
13;1;0;272,113;25,14;1
15;0;1;231,299;22,3;1
19;1;0;294,513;24,88;1
9;1;0;232,502;20,44;1
4;1;0;298,393;28,97;1
1;1;0;251,004;23,91;1
0;0;0;243,559;20,06;1
5;0;0;231,123;20,34;1
1;1;1;307,458;29,69;1
5;0;0;264,143;25,11;1
3;0;0;294,694;27,13;1
5;0;0;272,723;26,84;1
6;1;1;322,561;29,83;1
2;1;0;235,988;21,84;1
1;1;0;275,24;24,88;1
9;0;0;261,398;22,95;1
11;1;1;274,976;22,44;1
14;0;0;297,377;28,57;1
0;1;1;256,464;21,56;1
13;0;0;244,501;20,43;1
1;1;0;300,019;27,46;1
33;0;0;272,272;25,77;1
26;1;0;327,375;27,28;1
15;1;1;261,675;24,24;1
34;1;0;270,9;21,61;1
13;0;0;234,11;22,21;1
3;1;1;297,037;26,23;1
19;1;1;311,308;27,7;1
2;1;0;292,182;26,5;1
4;0;0;230,13;20,31;1
5;0;1;292,797;25,99;1
10;0;0;274,673;28,43;1
7;0;0;322,309;29,44;1
2;0;0;325,844;25,77;1
5;1;0;332,222;29,64;1
9;1;0;286,011;27,22;1
6;0;1;265,853;22,25;1
6;1;0;311,508;29,48;1
36;1;0;244,518;24,14;1
4;0;0;309,598;28,33;1
12;1;0;304,183;29,07;1
12;0;0;286,62;29,61;1
43;0;0;313,864;29,07;1
17;1;0;258,155;22,43;1
3;1;0;311,411;29,18;1
4;1;0;276,02;26,08;1
4;0;0;326,562;28,61;1
1;1;0;297,984;26,57;1
13;1;1;332,132;29,99;1
15;1;0;311,766;28,55;1
13;1;0;278,195;24,31;1
13;0;0;320,154;28,78;1
10;0;1;292;26,5;1
2;0;0;319,391;29,58;1
5;0;0;260,721;22,12;1
16;0;0;288,056;29,71;1
24;1;0;262,457;25,83;1
4;0;0;258,378;24,85;1
14;0;0;287,847;26,64;1
17;0;0;220,1;20,49;1
2;1;1;309,471;27,25;1
0;1;0;291,562;28,37;1
33;1;1;291,618;28,07;1
2;1;0;234,699;23,33;1
5;1;0;296,093;25,39;1
4;0;0;280,813;23,48;1
13;1;0;345,197;29,85;1
10;0;1;245,529;22,02;1
6;0;0;313,758;29,21;1
8;1;0;237,907;20,06;1
8;1;1;299,106;25,89;1
3;1;0;255,304;21,32;1
11;0;0;230,676;22,32;1
17;1;1;239,669;21,33;1
4;1;1;261,533;22,78;1
8;0;0;239,036;22,38;1
13;0;0;267,882;23,62;1
33;0;0;215,748;21,13;1
10;1;1;326,772;29,54;1
5;0;0;291,352;26,63;1
10;0;0;335,253;29,5;1
13;0;0;254,348;23,65;1
0;1;0;231,853;21,52;1
7;1;0;261,505;23,28;1
1;1;0;266,424;23,88;1
4;0;0;282,281;28,44;1
31;0;1;326,312;28,14;1
15;0;0;317,031;25,04;1
1;0;0;252,612;23,82;1
6;1;0;288,376;27,37;1
3;1;0;256,857;20,81;1
1;0;0;334,489;29,93;1
6;0;1;296,707;26,57;1
25;0;0;260,74;23,31;1
7;0;0;237,086;21,95;1
19;0;1;329,438;29,73;1
0;1;0;291,329;26,24;1
2;1;0;278,232;27,55;1
13;1;0;294,52;26,39;1
0;0;0;311,009;29,95;1
1;1;0;302,619;27,29;1
30;1;0;328,443;29,94;1
20;1;0;289,32;25,76;1
12;0;0;259,053;23,12;1
3;0;0;277,149;27,31;1
1;1;0;273,643;28,37;1
0;0;1;277,497;23,47;1
22;0;0;246,982;24,93;1
9;0;0;293,552;29,91;1
5;0;0;283,246;26,26;1
7;1;0;314,76;29,72;1
32;1;0;219,882;20,21;1
1;0;0;328,536;29,47;1
14;0;0;266,632;24,24;1
9;1;0;333,81;29,49;1
11;0;0;303,597;29,09;1
2;0;0;267,986;26,18;1
3;0;0;293,946;28,31;1
3;0;0;289,183;23,75;1
16;1;0;304,316;28,37;1
25;0;1;291,595;29,3;1
0;0;0;255,993;22,95;1
2;0;0;278,362;24,74;1
10;1;0;273,587;24,61;1
8;1;0;294,701;26,58;1
0;1;0;226,548;20,39;1
25;0;0;256,448;23,96;1
18;1;0;301,851;29,11;1
6;1;0;298,931;25,92;1
11;0;0;282,195;28,06;1
7;1;0;208,543;20,39;1
8;0;1;246,009;22,75;1
5;0;1;303,633;29,89;1
2;0;1;317,283;28,06;1
50;1;0;236,44;22,86;1
2;0;1;244,648;22,56;1
8;0;0;310,47;28,49;1
2;0;0;265,992;23,35;1
4;1;0;261,838;21,9;1
9;1;1;325,661;27,89;1
14;1;0;263,909;22,21;1
34;0;1;290,939;26,45;1
14;1;0;234,704;20,35;1
7;0;0;332,657;29,52;1
3;1;0;250,022;23,82;1
22;1;0;282,71;27,56;1
5;1;0;268,618;23,53;1
5;1;0;269,468;22,98;1
10;1;0;304,345;28,37;1
20;0;0;207,207;20,2;1
6;0;0;288,652;29,45;1
5;1;1;310,538;29,03;1
7;0;1;266,88;25,87;1
17;1;0;272,463;26,55;1
3;0;0;262,302;25,5;1
12;1;0;291,942;28,8;1
23;1;0;273,108;26,7;1
8;1;0;339,688;29,87;1
7;1;0;251,353;22,79;1
13;0;1;255,986;21,62;1
4;1;0;319,68;27,45;1
42;1;1;230,834;20,71;1
11;1;0;316,505;29,59;1
7;1;0;222,851;22,14;1
3;0;1;262,649;24,3;1
20;0;0;252,678;21,99;1
6;1;0;288,536;24,41;1
9;0;0;299,286;26,76;1
5;1;1;253,336;23,44;1
7;1;0;249,099;25,24;1
1;1;0;291,379;27,06;1
1;0;0;235,334;20,26;1
12;0;0;295,222;28,36;1
1;0;0;285,943;25,3;1
0;0;0;269,181;25,17;1
49;1;0;266,615;23,67;1
4;1;0;277,486;24,19;1
5;0;0;286,571;25,79;1
26;1;0;267,685;24,89;1
5;0;1;271,464;24,5;1
2;1;0;250,093;23,03;1
7;1;0;279,049;23,28;1
1;1;0;241,642;22,25;1
2;1;0;288,85;28,72;1
34;0;1;267,377;25,67;1
1;1;0;318,162;29,29;1
1;0;0;285,036;24,93;1
5;0;0;296,336;29,47;1
15;1;0;279,292;27,57;1
21;1;0;306,762;26,91;1
12;0;0;295,517;26,57;1
45;1;0;239,256;23,01;1
22;1;1;292,243;26,3;1
3;1;0;291,009;27,98;1
20;1;0;329,202;27,97;1
2;0;1;296,203;27,14;1
1;1;0;199,319;21,38;1
3;0;0;244,535;22,11;1
8;1;0;276,68;23,09;1
3;1;0;220,502;21,5;1
4;1;0;307,056;26,97;1
9;0;0;238,523;20,43;1
10;1;0;275,191;25,43;1
10;0;1;234,326;20,26;1
3;1;0;259,221;21,13;1
5;0;0;257,052;21,86;1
2;1;0;201,653;21,04;1
6;1;0;238,141;21,06;1
8;0;0;291,237;28,32;1
10;0;0;249,567;22,55;1
18;1;0;252,68;22,29;1
5;1;0;266,766;24,55;1
1;0;1;255,684;24,43;1
0;1;0;283,802;22,93;1
0;0;0;335,285;28,48;1
2;1;1;306,113;28,97;1
18;1;0;275,734;23,9;1
17;1;0;267,148;23,14;1
18;0;0;282,63;25,27;1
5;1;0;334,657;29,78;1
7;1;0;252,294;23;1
5;0;0;292,076;28,48;1
21;1;0;319,505;28,23;1
1;1;0;314,616;25,29;1
8;0;0;249,063;24,62;1
4;0;0;294,925;24,25;1
3;0;0;291,309;23,5;1
6;0;0;297,881;28,85;1
5;1;0;281,746;24,38;1
1;1;0;293,103;27,16;1
19;0;1;260,74;22,1;1
3;0;1;310,927;28,41;1
10;1;0;315,383;25,07;1
6;1;0;281,308;22,66;1
3;1;0;289,668;29,34;1
0;0;0;236,474;22,33;1
33;1;0;212,175;20,72;1
8;1;1;234,687;20,68;1
15;1;1;337,338;29,81;1
8;0;0;243,151;21,06;1
12;0;1;244,599;22,82;1
2;0;0;253,505;24,26;1
7;0;1;268,941;24,09;1
10;1;0;249,715;27,67;1
2;0;1;248,466;22,16;1
4;0;0;251,715;23,89;1
5;0;0;318,512;28,97;1
30;0;0;276,058;27,05;1
1;0;0;280,62;24,09;1
0;0;0;253,541;22,39;1
4;1;0;265,322;21,03;1
21;1;1;285,063;25,38;1
12;0;0;299,452;29,02;1
8;1;0;276,008;26,1;1
2;0;1;284,448;25,99;1
2;0;0;290,407;27,92;1
1;0;1;268,747;23,26;1
6;0;0;261,45;21,62;1
7;1;1;217,031;20,64;1
11;1;1;257,007;21,57;1
2;1;0;262,924;26,97;1
4;1;0;237,34;23,16;1
0;1;0;237,933;20,56;1
1;0;0;265,116;24,45;1
19;1;0;310,849;28,27;1
4;0;0;242,675;23,21;1
5;0;0;297,231;26;1
6;1;0;325,827;29,74;1
10;1;0;324,482;26,68;1
6;0;0;286,474;25,3;1
16;1;0;271,434;26,3;1
0;0;0;305,64;28,47;1
14;1;0;227,714;21,31;1
0;1;1;241,306;20,47;1
0;0;0;309,567;26,31;1
7;1;0;321,003;29,58;1
7;0;0;309,854;28,45;1
0;1;0;257,872;25,11;1
3;0;0;289,689;25,96;1
1;0;0;271,311;27,86;1
35;1;1;284,074;25,65;1
0;1;0;314,476;27,92;1
25;0;0;313,562;29,91;1
15;0;0;310,701;28,55;1
39;1;1;233,889;24,19;1
0;0;0;315,897;29,17;1
12;1;0;257,927;24,58;1
5;0;1;334,294;28,4;1
1;0;0;256,719;24,81;1
10;0;1;291,248;27,49;1
23;1;0;285,183;26,32;1
8;1;1;273,661;24,33;1
3;1;1;254,754;23,44;1
9;1;0;317,373;29,3;1
2;1;0;315,034;28,42;1
13;1;0;315,645;28,23;1
6;0;0;257,47;24,2;1
10;1;0;304,922;23,41;1
16;0;0;240,99;24,14;1
2;0;0;267,009;23,58;1
0;0;1;305,649;29,57;1
5;1;1;322,163;29,08;1
5;1;1;255,474;22,03;1
0;1;0;298,95;29,18;1
16;1;0;281,685;26,89;1
7;1;1;305,568;29,83;1
4;0;0;255,76;23,05;1
11;0;0;269,752;22,97;1
7;1;0;280,052;27,36;1
18;1;0;287,45;28,73;1
8;1;0;251,713;21,91;1
9;1;1;287,427;26,89;1
12;0;1;278,213;24,66;1
1;1;0;303,941;27,15;1
1;0;0;249,852;23,33;1
20;1;0;271,043;24,06;1
18;1;0;321,938;29,37;1
12;0;0;243,976;20,52;1
29;1;0;291,471;29,19;1
40;1;0;230,25;20,23;1
4;0;1;254,817;22,6;1
6;1;1;270,913;25,76;1
9;1;1;286,525;27,75;1
7;1;0;325,964;28,62;1
28;0;0;238,329;21,31;1
5;0;0;218,419;20,96;1
0;0;0;307,204;29,9;1
21;0;0;298,685;25,37;1
8;0;0;259,659;26,99;1
0;1;0;259,661;23,98;1
10;0;1;283,695;23,64;1
0;1;0;276,198;25,8;1
4;0;0;276,565;24,03;1
18;0;0;270,078;24,23;1
11;0;1;273,737;23,09;1
21;0;0;274,404;25,68;1
4;1;1;312,033;28,82;1
5;0;0;243,123;23,2;1
9;0;0;218,923;20,52;1
4;1;0;254,613;21,6;1
12;1;1;325,941;29,5;1
5;1;0;260,66;25,41;1
9;0;0;271,435;25,72;1
